Data_e_ora, Capitale, Prezzo_di_acquisto, Exchange_acq, Prezzo_di_vendita, Exchange_ven, Commissioni_acquisto, Commissioni_vendita, Totale_netto_ricavato
2025-01-30 16:03:09.204419, 3000, 105808.6, KuCoin, 106070.0, Bitfinex, 0.1%, 0.1%, 1.40 USDT
2025-01-30 16:03:13.228914, 3000, 0.9807, Binance, 0.98568, Bitfinex, 0.1%, 0.1%, 9.21 USDT
2025-01-30 16:03:24.760352, 3000, 0.9823, Binance, 0.98568, Bitfinex, 0.1%, 0.1%, 4.31 USDT
2025-01-30 16:03:38.035468, 3000, 0.9823, KuCoin, 0.98568, Bitfinex, 0.1%, 0.1%, 4.31 USDT
2025-01-30 16:03:39.035158, 3000, 131.556, KuCoin, 131.96, Bitfinex, 0.1%, 0.1%, 3.20 USDT
2025-01-30 16:03:50.395440, 3000, 131.57, Binance, 131.96, Bitfinex, 0.1%, 0.1%, 2.88 USDT
2025-01-30 16:04:02.105331, 3000, 131.569, KuCoin, 131.96, Bitfinex, 0.1%, 0.1%, 2.90 USDT
2025-01-30 16:04:09.605854, 3000, 3260.01, Binance, 3270.1, Bitfinex, 0.1%, 0.1%, 3.27 USDT
2025-01-30 16:04:14.363873, 3000, 131.463, KuCoin, 131.96, Bitfinex, 0.1%, 0.1%, 5.32 USDT
2025-01-30 16:04:26.832596, 3000, 131.451, KuCoin, 131.96, Bitfinex, 0.1%, 0.1%, 5.60 USDT
2025-01-30 16:04:38.277660, 3000, 131.577, KuCoin, 131.96, Bitfinex, 0.1%, 0.1%, 2.72 USDT
2025-01-30 16:05:26.008870, 3000, 131.639, KuCoin, 131.96, Bitfinex, 0.1%, 0.1%, 1.30 USDT
2025-01-30 16:05:59.968627, 3000, 131.61, Binance, 131.96, Bitfinex, 0.1%, 0.1%, 1.97 USDT
2025-01-30 16:06:24.864031, 3000, 131.619, KuCoin, 131.96, Bitfinex, 0.1%, 0.1%, 1.76 USDT
2025-01-30 16:06:36.153003, 3000, 131.59, Binance, 131.96, Bitfinex, 0.1%, 0.1%, 2.42 USDT
2025-01-30 16:07:17.668926, 3000, 131.57, Binance, 131.96, Bitfinex, 0.1%, 0.1%, 2.88 USDT
2025-01-30 16:07:30.635442, 3000, 131.61, Binance, 131.96, Bitfinex, 0.1%, 0.1%, 1.97 USDT
2025-01-30 16:07:42.369593, 3000, 131.613, KuCoin, 131.96, Bitfinex, 0.1%, 0.1%, 1.90 USDT
2025-01-30 16:07:56.257292, 3000, 131.458, KuCoin, 131.96, Bitfinex, 0.1%, 0.1%, 5.44 USDT
2025-01-30 16:08:07.753897, 3000, 131.647, KuCoin, 131.96, Bitfinex, 0.1%, 0.1%, 1.12 USDT
2025-01-30 16:08:19.488422, 3000, 131.573, KuCoin, 131.96, Bitfinex, 0.1%, 0.1%, 2.81 USDT
